id,identity_to_query
aroB_pf5_uref100,1.000
UniRef100_A0A0G4ENP6/169-549,0.262
UniRef100_A0A0G4ENP6/598-974,0.268
UniRef100_A0A836S2Z9/1-357,0.623
UniRef100_B8GPV3/1-357,0.650
UniRef100_A0A2N8SWS0/1-363,0.798
UniRef100_UPI0003775B83/1-360,0.784
UniRef100_A0A401JDP2/1-359,0.631
UniRef100_UPI0004764DAD/1-358,0.648
UniRef100_A0A1G0F487/1-362,0.615
UniRef100_A0A3B1AGH7/1-358,0.568
UniRef100_A0A1E4HZM4/1-356,0.648
UniRef100_A0A1G3CVU9/1-361,0.779
UniRef100_A0A7Y8JFU6/1-360,0.634
UniRef100_A0A6A7YLP2/1-364,0.874
UniRef100_UPI001C1EA621/1-356,0.617
UniRef100_A0A6H9Y2F0/1-359,0.637
UniRef100_UPI0007DBFBC1/1-361,0.858
UniRef100_A0A3D2MBU1/1-361,0.770
UniRef100_A0A1F4CHR5/1-357,0.579
UniRef100_UPI001BD362EB/1-364,0.918
UniRef100_I4N601/1-361,0.850
UniRef100_A0A259FBV4/1-355,0.648
UniRef100_A0A4R0PLV4/1-362,0.801
UniRef100_UPI0009002019/1-356,0.716
UniRef100_A0A1B4XC36/1-359,0.675
UniRef100_UPI001A8EFA5D/1-358,0.609
UniRef100_UPI001865C56C/1-363,0.817
UniRef100_A0A5S5BI63/1-361,0.770
UniRef100_A0A6I6LSE4/1-360,0.795
UniRef100_A0A1E4NEV5/4-357,0.653
UniRef100_UPI0009903C22/1-358,0.634
UniRef100_A0A1V3NCF9/1-359,0.648
UniRef100_A0A432ESM9/1-359,0.596
UniRef100_A0A1H0PPW7/1-363,0.795
UniRef100_A0A2N8RXX7/1-358,0.779
UniRef100_A0A3M1WV66/1-356,0.617
UniRef100_A0A3B8P693/1-361,0.858
UniRef100_A0A658G9N7/1-362,0.781
UniRef100_A0A0J6GFV0/1-364,0.893
UniRef100_A0A259EXG3/1-358,0.661
UniRef100_UPI000CF552B8/1-358,0.631
UniRef100_UPI001C7F048B/1-363,0.825
UniRef100_S2JZV2/1-361,0.850
UniRef100_UPI001C55F2DE/1-360,0.874
UniRef100_A0A6A9RAP4/1-361,0.776
UniRef100_A0A1E4WBL9/1-361,0.811
UniRef100_A0A2S7XRZ3/1-354,0.637
