id,identity_to_query
IF-1,1.000
UniRef100_A0A3M1R1X3/1-72,0.722
UniRef100_A0A7Y5F8W7/1-72,0.708
UniRef100_A0A3M2D5U7/1-72,0.653
UniRef100_A0A831KBC2/1-72,0.750
UniRef100_H2CAP8/1-72,0.681
UniRef100_A0A7C7QJ76/1-72,0.736
UniRef100_UPI0003731B62/1-72,0.722
UniRef100_UPI00048AC3A0/1-72,0.681
UniRef100_UPI00128D520D/1-72,0.764
UniRef100_A0A4P8L274/1-72,0.708
UniRef100_A0A7V1V3V0/1-72,0.667
UniRef100_A0A7X8B347/1-72,0.722
UniRef100_Q1AU52/1-72,0.750
UniRef100_A0A0J1DL86/1-72,0.694
UniRef100_A0A522B0R9/1-72,0.708
UniRef100_A0A0K2GAM5/1-72,0.667
UniRef100_A0A1L8I3U3/1-72,0.694
UniRef100_UPI0009889509/1-72,0.708
UniRef100_A0A1M4VTJ4/1-72,0.694
UniRef100_A0A7C8EUI4/1-72,0.708
UniRef100_A0A831ZW35/1-72,0.708
UniRef100_A0A7C1EQH0/1-72,0.681
UniRef100_A0A0T6AI55/1-72,0.708
UniRef100_A0A2V7CTH1/1-72,0.722
UniRef100_A0A3C1QPZ9/1-72,0.708
UniRef100_A0A2V6Q0F2/1-72,0.736
UniRef100_A0A7C6CA83/1-72,0.708
UniRef100_A0A2V7IGN2/1-72,0.708
UniRef100_F5L9K4/1-72,0.708
UniRef100_A0A2T4U4W1/1-72,0.681
UniRef100_A0A2V6XK35/1-72,0.722
UniRef100_A0A859FA86/1-72,0.694
UniRef100_A0A8I1NIU1/1-72,0.639
UniRef100_A0A356BZZ4/1-72,0.736
UniRef100_A0A1H0F9H9/1-72,0.694
UniRef100_A0A2V6RX86/1-72,0.708
UniRef100_A0A0H4T5S1/1-72,0.722
UniRef100_A0A532DQV9/1-72,0.667
UniRef100_A0A511V999/1-72,0.708
UniRef100_A0A1Q5T1U0/1-72,0.694
UniRef100_A0A2V2G275/1-72,0.708
UniRef100_A0A353MN11/1-72,0.722
UniRef100_A0A7V2I6S8/1-72,0.708
UniRef100_A0A081BSG1/1-72,0.736
UniRef100_A0A1G1F3R2/1-72,0.708
UniRef100_A0A7C6YWD4/1-72,0.722
UniRef100_A0A1F7LJ65/1-72,0.736
UniRef100_A0A2V7DQR3/1-72,0.722
UniRef100_A0A349HI16/1-72,0.694
UniRef100_T2G8M6/1-72,0.708
UniRef100_UPI00048329E0/1-72,0.681
UniRef100_O50630/1-72,0.681
UniRef100_A0A1V4X5J3/1-72,0.722
UniRef100_Q03PX9/1-72,0.681
UniRef100_A0A1V5SDA2/1-72,0.722
UniRef100_A0A2U3LBD4/1-72,0.708
UniRef100_A0A3N5TXD9/1-72,0.694
UniRef100_A0A8J8BI79/1-72,0.667
UniRef100_UPI0019235CE3/1-72,0.708
UniRef100_A0A538U344/1-72,0.681
UniRef100_B8DQF6/1-72,0.708
UniRef100_A0A366XSQ5/1-72,0.722
UniRef100_A0A2V6RWE3/1-72,0.736
UniRef100_Q5L3R6/1-72,0.681
UniRef100_A0A0S4KTT2/1-72,0.667
UniRef100_A0A521KYP5/1-72,0.681
UniRef100_A0A1F7LYJ3/1-72,0.736
UniRef100_A0A7W1CYC5/1-72,0.750
UniRef100_A0A2U1K5W4/1-72,0.708
UniRef100_A0A7C4J3M5/1-72,0.708
UniRef100_A0A7C2DLP4/1-72,0.694
UniRef100_B8D0T2/1-72,0.708
UniRef100_A0A1F8WLC6/1-72,0.708
UniRef100_A0A556PLE3/1-72,0.694
UniRef100_A0A3E0KND5/1-72,0.708
UniRef100_A0A7X7Y746/1-72,0.681
UniRef100_H3NCM4/1-72,0.694
UniRef100_A0A7U3YBX6/1-72,0.708
UniRef100_X0SQV0/4-75,0.694
UniRef100_Q5WLN9/1-72,0.694
UniRef100_A0A8J8KD19/1-72,0.708
UniRef100_A0A7Z2K2D1/1-72,0.708
UniRef100_S7U9P7/1-72,0.722
UniRef100_K1MR13/1-72,0.708
UniRef100_A0A7C5F4K1/1-72,0.625
UniRef100_A0A2H0LND0/1-72,0.694
UniRef100_A0A533ZLM3/1-72,0.708
UniRef100_A0A7C7D952/1-72,0.708
UniRef100_A0A7V3DKV0/1-72,0.694
UniRef100_D5WS70/1-72,0.667
UniRef100_A0A538F0V0/1-72,0.667
UniRef100_A0A4R3MWX2/1-72,0.694
UniRef100_X0PC01/1-72,0.681
UniRef100_A0A556PGV9/1-72,0.694
UniRef100_A0A2P6ME79/1-72,0.694
UniRef100_A0A2W5TBV1/1-72,0.708
UniRef100_D6XVR4/1-72,0.667
UniRef100_A0LIL3/1-72,0.722
UniRef100_UPI0006D57858/1-72,0.694
UniRef100_A0A4R2QU33/1-72,0.681
UniRef100_UPI0013EC053B/1-72,0.681
UniRef100_UPI001422D807/1-72,0.681
UniRef100_A0A849SEN9/1-72,0.694
UniRef100_A4IJL1/1-72,0.694
UniRef100_A0A2S2JJR5/1-72,0.681
UniRef100_A0A5C7FGB3/1-72,0.708
UniRef100_A0A5B8XXP4/1-72,0.681
UniRef100_UPI00166D8DA8/1-72,0.681
UniRef100_A0A1I4VMC6/1-72,0.736
UniRef100_A0A1G8IIH1/1-72,0.722
UniRef100_A0A538IYZ4/1-72,0.653
UniRef100_A0A2I0QQH8/1-72,0.681
UniRef100_A0A7V6X4R5/1-72,0.694
UniRef100_A0A525C7X7/1-72,0.694
UniRef100_A0A7C3DK98/1-72,0.694
UniRef100_A0A2N6BQC7/1-72,0.694
UniRef100_A0A537Y246/1-72,0.681
UniRef100_UPI00195FBA4C/1-72,0.681
UniRef100_A0A7V8WAK4/1-72,0.667
UniRef100_A0A352PTY8/1-72,0.694
UniRef100_A0A430A910/1-72,0.708
UniRef100_A0A0R2L8P9/1-72,0.681
UniRef100_A0A7C6L9K1/1-72,0.708
UniRef100_UPI000F81E8D9/1-72,0.667
UniRef100_A0A1B9F559/1-72,0.708
UniRef100_UPI0003FECF3C/1-72,0.681
UniRef100_A0A6P1AYU7/1-72,0.694
UniRef100_A0A2E8PNE6/1-72,0.708
UniRef100_A0A7C3W1T5/1-72,0.694
UniRef100_A0A3E0KJC7/1-72,0.708
UniRef100_A0A0H4TD59/1-72,0.694
UniRef100_G9QN71/1-72,0.681
UniRef100_UPI000F474A4E/1-72,0.694
UniRef100_A0A1J4V5K8/1-72,0.722
UniRef100_A0A1D2YS37/1-72,0.708
UniRef100_A0A7X9BLX2/1-72,0.722
UniRef100_A0A1S2MFH2/1-72,0.681
UniRef100_A0A7C6ARB7/1-72,0.708
UniRef100_A0A023X4D3/1-72,0.750
UniRef100_UPI000E5BCAB4/1-72,0.750
UniRef100_A0A7X8HTZ1/1-72,0.681
UniRef100_A0A7V3FCH6/1-72,0.694
UniRef100_A0A7V2Y6Y9/1-72,0.639
UniRef100_A0A2A6E2S4/1-72,0.653
UniRef100_A0A7X8H5L8/1-72,0.736
UniRef100_A0A3N5B377/1-72,0.667
UniRef100_A0A139D4F0/1-72,0.736
UniRef100_A0A419EVI8/1-72,0.667
UniRef100_D7CJJ9/1-72,0.694
UniRef100_A0A1Z5HMY7/1-72,0.653
UniRef100_A0A2J0LRS5/1-72,0.708
UniRef100_UPI00064BAE95/1-72,0.750
UniRef100_A0A060LR90/1-72,0.667
UniRef100_A0A1E5L889/1-72,0.694
UniRef100_A0A7V3XBY2/1-72,0.667
UniRef100_A0A7C6IP32/1-72,0.722
UniRef100_A0A3C0KTM4/1-72,0.653
UniRef100_A0A354C2U9/1-72,0.694
UniRef100_A0A533Z287/1-72,0.681
UniRef100_A0A8J3B7T4/1-72,0.667
UniRef100_A0A1M4W466/1-72,0.708
